PERMNO,date,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,NUMTRD
84398,2004-08-20,109.51000,110.63000,110.48000,44893700,0.007019,110.44000,110.43000,
84398,2004-08-23,110.05000,110.77000,110.20000,33850300,-0.002534,110.20000,110.21000,
84398,2004-08-24,109.85000,110.73000,110.35000,30553600,0.001361,110.21000,110.21000,
84398,2004-08-25,109.90000,111.27000,111.10000,38582000,0.006797,111.12000,111.13000,
84398,2004-08-26,110.85000,111.31000,111.10000,26634100,0.000000,111.14000,111.15000,
84398,2004-08-27,111.05000,111.63000,111.45000,24904700,0.003150,111.46000,111.47000,
84398,2004-08-30,110.45000,111.34000,110.53000,26729800,-0.008255,110.57000,110.58000,
84398,2004-08-31,110.10000,111.16000,111.11000,44207800,0.005247,111.06000,111.08000,
84398,2004-09-01,110.48000,111.64000,111.32000,52792600,0.001890,111.30000,111.30000,
84398,2004-09-02,111.24000,112.70000,112.58000,42831400,0.011319,112.53000,112.53000,
84398,2004-09-03,112.01000,112.82000,112.12000,30491600,-0.004086,112.08000,112.10000,
84398,2004-09-07,112.32000,113.13000,112.86000,37352500,0.006600,112.81000,112.82000,
84398,2004-09-08,112.31000,113.06000,112.58000,33004800,-0.002481,112.34000,112.35000,
84398,2004-09-09,112.03000,112.88000,112.48000,34332400,-0.000888,112.49000,112.50000,
84398,2004-09-10,112.08000,113.27000,113.06000,27914600,0.005156,113.09000,113.10000,
84398,2004-09-13,113.01000,113.74000,113.43000,44537900,0.003273,113.30000,113.31000,
84398,2004-09-14,113.19000,113.69000,113.66000,28067300,0.002028,113.59000,113.60000,
84398,2004-09-15,112.68000,113.36000,112.80000,38458800,-0.007566,112.73000,112.73000,
84398,2004-09-16,112.80000,113.37000,113.14000,23917500,0.003014,113.09000,113.10000,
84398,2004-09-17,112.69000,113.36000,113.15000,33694500,0.004232,113.10000,113.11000,
84398,2004-09-20,112.28000,112.99000,112.47000,37189800,-0.006010,112.51000,112.52000,
84398,2004-09-21,112.54000,113.47000,112.96000,40929400,0.004357,113.24000,113.25000,
84398,2004-09-22,111.47000,112.52000,111.55000,49169200,-0.012482,111.62000,111.63000,
84398,2004-09-23,110.95000,111.70000,110.95000,44090300,-0.005379,111.15000,111.15000,
84398,2004-09-24,111.13000,111.73000,111.46000,35011600,0.004597,111.34000,111.35000,
84398,2004-09-27,110.58000,111.20000,110.75000,39672100,-0.006370,110.67000,110.67000,
84398,2004-09-28,110.41000,111.51000,111.28000,41702300,0.004786,111.35000,111.36000,
84398,2004-09-29,111.00000,111.85000,111.84000,33866700,0.005032,111.74000,111.75000,
84398,2004-09-30,111.26000,111.98000,111.76000,43592100,-0.000715,111.74000,111.75000,
84398,2004-10-01,112.21000,113.65000,113.65000,62844300,0.016911,113.49000,113.48000,
84398,2004-10-04,113.80000,114.44000,113.84000,33587100,0.001672,113.86000,113.87000,
84398,2004-10-05,113.54000,114.16000,113.90000,37162700,0.000527,113.83000,113.83000,
84398,2004-10-06,113.68000,114.68000,114.62000,42297800,0.006321,114.57000,114.55000,
84398,2004-10-07,113.36000,114.40000,113.45000,39410300,-0.010208,113.38000,113.39000,
84398,2004-10-08,112.35000,113.70000,112.51000,51882800,-0.008286,112.58000,112.58000,
84398,2004-10-11,112.64000,113.02000,112.97000,20246200,0.004089,112.85000,112.86000,
84398,2004-10-12,111.94000,112.83000,112.53000,41855300,-0.003895,112.53000,112.54000,
84398,2004-10-13,111.32000,113.07000,111.54000,54434300,-0.008798,111.68000,111.68000,
84398,2004-10-14,110.58000,111.93000,110.64000,64549400,-0.008069,110.71000,110.71000,
84398,2004-10-15,110.57000,111.74000,111.26000,63483400,0.005604,111.18000,111.19000,
84398,2004-10-18,110.70000,111.90000,111.68000,43762600,0.003775,111.80000,111.80000,
84398,2004-10-19,110.59000,112.23000,110.74000,56057800,-0.008417,110.72000,110.73000,
84398,2004-10-20,109.75000,110.82000,110.52000,57174900,-0.001987,110.70000,110.72000,
84398,2004-10-21,110.21000,111.32000,111.24000,53261700,0.006515,111.04000,111.05000,
84398,2004-10-22,109.86000,111.25000,109.99000,48759800,-0.011237,109.96000,109.96000,
84398,2004-10-25,109.35000,110.12000,109.86000,44055400,-0.001182,109.86000,109.86000,
84398,2004-10-26,109.88000,111.60000,111.54000,54483300,0.015292,111.42000,111.40000,
84398,2004-10-27,111.12000,113.10000,112.88000,73928500,0.012014,112.97000,112.96000,
84398,2004-10-28,112.49000,113.56000,113.22000,54427000,0.003012,113.17000,113.18000,
84398,2004-10-29,112.90000,113.64000,113.20000,48824800,-0.000177,113.37000,113.38000,
84398,2004-11-01,113.20000,113.84000,113.51000,36770900,0.002739,113.49000,113.50000,
84398,2004-11-02,113.22000,114.57000,113.55000,56258500,0.000352,113.50000,113.50000,
84398,2004-11-03,114.24000,115.36000,114.98000,77030000,0.012594,114.78000,114.78000,
84398,2004-11-04,114.68000,116.67000,116.55000,55456700,0.013655,116.57000,116.57000,
84398,2004-11-05,116.49000,117.64000,117.28000,63308500,0.006263,117.08000,117.09000,
84398,2004-11-08,116.72000,117.23000,117.11000,34161200,-0.001450,117.01000,117.02000,
84398,2004-11-09,116.76000,117.50000,116.88000,44713200,-0.001964,117.00000,117.01000,
84398,2004-11-10,116.76000,117.55000,116.97000,45270200,0.000770,116.92000,116.93000,
84398,2004-11-11,117.10000,118.12000,117.86000,38408000,0.007609,117.98000,117.99000,
84398,2004-11-12,117.68000,119.00000,118.79000,55641800,0.007891,118.94000,118.94000,
84398,2004-11-15,118.23000,118.77000,118.73000,35299400,0.002450,118.65000,118.67000,
84398,2004-11-16,117.73000,118.41000,117.88000,40136700,-0.007159,117.77000,117.76000,
84398,2004-11-17,118.07000,119.14000,118.58000,54935000,0.005938,118.41000,118.42000,
84398,2004-11-18,118.23000,118.80000,118.74000,31910700,0.001349,118.66000,118.67000,
84398,2004-11-19,117.14000,118.72000,117.42000,54280100,-0.011117,117.32000,117.33000,
84398,2004-11-22,117.03000,118.12000,117.98000,37566500,0.004769,117.98000,117.98000,
84398,2004-11-23,117.37000,118.26000,118.16000,41973000,0.001526,117.98000,117.98000,
84398,2004-11-24,118.05000,118.59000,118.44000,29732800,0.002370,118.54000,118.54000,
84398,2004-11-26,118.30000,118.98000,118.34000,15490000,-0.000844,118.55000,118.56000,
84398,2004-11-29,117.48000,119.01000,117.81000,61760600,-0.004479,118.15000,118.13000,
84398,2004-11-30,117.64000,118.24000,117.89000,54476100,0.000679,117.73000,117.73000,
84398,2004-12-01,118.10000,119.50000,119.23000,49909900,0.011367,119.48000,119.44000,
84398,2004-12-02,119.01000,119.87000,119.33000,60177100,0.000839,119.38000,119.39000,
84398,2004-12-03,119.09000,120.14000,119.25000,49073700,-0.000670,119.43000,119.45000,
84398,2004-12-06,118.84000,119.64000,119.21000,33045100,-0.000335,119.37000,119.35000,
84398,2004-12-07,118.04000,119.62000,118.10000,52105700,-0.009311,118.20000,118.08000,
84398,2004-12-08,118.01000,118.82000,118.79000,43901100,0.005843,118.63000,118.64000,
84398,2004-12-09,117.73000,119.46000,119.21000,60953100,0.003536,119.31000,119.32000,
84398,2004-12-10,118.85000,119.56000,119.33000,47852800,0.001007,119.20000,119.16000,
84398,2004-12-13,119.35000,120.40000,120.37000,38708900,0.008715,120.30000,120.30000,
84398,2004-12-14,120.18000,120.96000,120.79000,41736100,0.003489,120.81000,120.80000,
84398,2004-12-15,120.31000,121.11000,120.88000,46759300,0.000745,120.98000,120.97000,
84398,2004-12-16,120.04000,121.24000,120.81000,51650200,-0.000579,120.69000,120.70000,
84398,2004-12-17,119.16000,119.97000,119.44000,71183000,-0.006639,119.41000,119.42000,
84398,2004-12-20,119.17000,120.29000,119.47000,47201400,0.000251,119.27000,119.28000,
84398,2004-12-21,119.07000,120.48000,120.39000,33197600,0.007701,120.39000,120.40000,
